Date,Price,Open,High,Low,Vol.,Target
2019-05-30,0.82,0.8,0.82,0.8,1.51M,1
2019-05-29,0.8,0.81,0.82,0.8,828.49K,-1
2019-05-28,0.81,0.8,0.85,0.8,3.06M,1
2019-05-27,0.8,0.8,0.82,0.8,913.88K,0
2019-05-24,0.8,0.79,0.81,0.79,1.39M,1
2019-05-23,0.79,0.8,0.8,0.79,502.90K,-1
2019-05-22,0.8,0.82,0.83,0.79,877.56K,-1
2019-05-21,0.82,0.84,0.87,0.82,3.39M,-1
2019-05-20,0.83,0.84,0.85,0.82,490.66K,-1
2019-05-17,0.84,0.8,0.87,0.79,2.74M,1
2019-05-16,0.8,0.8,0.83,0.8,3.98M,0
2019-05-15,0.8,0.82,0.82,0.8,892.06K,-1
2019-05-14,0.82,0.8,0.82,0.79,794.29K,1
2019-05-13,0.81,0.83,0.84,0.79,1.14M,-1
2019-05-10,0.84,0.84,0.85,0.82,1.00M,0
2019-05-09,0.83,0.85,0.86,0.83,997.47K,-1
2019-05-08,0.86,0.85,0.88,0.84,3.83M,1
2019-05-07,0.85,0.84,0.86,0.83,1.46M,1
2019-05-06,0.86,0.88,0.88,0.85,1.66M,-1
2019-05-03,0.88,0.9,0.9,0.88,1.51M,-1
2019-05-02,0.9,0.89,0.91,0.88,2.37M,1
2019-04-30,0.93,0.91,0.93,0.9,1.86M,1
2019-04-29,0.91,0.93,0.94,0.91,1.18M,-1
2019-04-26,0.93,0.94,0.94,0.92,1.10M,-1
2019-04-25,0.93,0.96,0.96,0.92,2.45M,-1
2019-04-24,0.96,0.94,0.97,0.93,8.04M,1
2019-04-22,0.93,0.94,0.95,0.93,1.18M,-1
2019-04-19,0.94,0.93,0.95,0.92,2.61M,1
2019-04-18,0.93,0.94,0.96,0.92,3.47M,-1
2019-04-17,0.94,0.93,0.96,0.92,5.81M,1
2019-04-16,0.92,0.92,0.94,0.92,1.40M,0
2019-04-15,0.92,0.92,0.93,0.91,1.21M,0
2019-04-12,0.92,0.93,0.93,0.91,1.25M,-1
2019-04-11,0.93,0.94,0.94,0.92,758.85K,-1
2019-04-10,0.94,0.95,0.95,0.92,1.15M,-1
2019-04-09,0.95,0.95,0.96,0.94,1.15M,0
2019-04-08,0.95,0.97,0.97,0.94,1.32M,-1
2019-04-05,0.96,0.96,0.97,0.95,2.95M,0
2019-04-04,0.96,0.97,0.97,0.95,2.24M,-1
2019-04-03,0.96,0.97,0.98,0.94,5.32M,-1
2019-04-02,0.97,1.01,1.02,0.97,9.53M,-1
2019-04-01,1.01,0.96,1.03,0.93,26.68M,1
2019-03-29,0.95,0.95,0.97,0.94,2.44M,0
2019-03-28,0.95,0.94,0.97,0.92,3.03M,1
2019-03-27,0.93,1.0,1.0,0.92,2.17M,-1
2019-03-26,1.0,1.01,1.02,0.98,1.68M,-1
2019-03-25,1.0,1.03,1.04,0.98,2.27M,-1
2019-03-22,1.02,1.06,1.07,1.02,3.62M,-1
2019-03-21,1.05,1.05,1.07,1.05,2.28M,0
2019-03-20,1.05,1.06,1.07,1.05,2.49M,-1
2019-03-19,1.06,1.07,1.09,1.06,6.09M,-1
2019-03-18,1.06,1.05,1.07,1.05,3.63M,1
2019-03-15,1.05,1.05,1.08,1.05,4.46M,0
2019-03-14,1.05,1.06,1.07,1.04,4.88M,-1
2019-03-13,1.06,1.1,1.16,1.06,27.47M,-1
2019-03-12,1.09,1.04,1.09,1.04,15.09M,1
2019-03-11,1.04,1.03,1.08,1.02,8.50M,1
2019-03-08,1.03,1.06,1.06,1.01,4.91M,-1
2019-03-07,1.05,1.08,1.09,1.05,3.20M,-1
2019-03-06,1.08,1.07,1.09,1.05,4.99M,1
2019-03-05,1.07,1.1,1.11,1.06,4.71M,-1
2019-03-04,1.09,1.06,1.1,1.03,9.34M,1
2019-03-01,1.07,1.09,1.1,1.07,4.09M,-1
2019-02-28,1.08,1.05,1.12,1.04,18.98M,1
2019-02-27,1.04,1.04,1.08,1.04,4.75M,0
2019-02-26,1.04,1.05,1.05,1.03,2.26M,-1
2019-02-25,1.05,1.02,1.08,1.02,12.30M,1
2019-02-22,1.02,1.03,1.03,1.02,1.47M,-1
2019-02-21,1.02,1.03,1.04,1.02,1.40M,-1
2019-02-20,1.02,1.04,1.05,1.02,2.90M,-1
2019-02-19,1.03,1.02,1.06,1.0,9.87M,1
2019-02-18,1.01,1.03,1.04,1.01,1.40M,-1
2019-02-15,1.02,1.04,1.04,1.01,1.53M,-1
2019-02-14,1.04,1.04,1.04,1.01,2.95M,0
2019-02-13,1.03,1.06,1.07,1.03,2.88M,-1
2019-02-12,1.05,1.07,1.08,1.05,1.87M,-1
2019-02-11,1.07,1.06,1.09,1.06,4.01M,1
2019-02-08,1.05,1.06,1.07,1.05,2.00M,-1
2019-02-07,1.06,1.08,1.08,1.05,1.70M,-1
2019-02-06,1.08,1.09,1.1,1.07,2.16M,-1
2019-02-05,1.08,1.09,1.11,1.08,3.53M,-1
2019-02-04,1.08,1.08,1.11,1.07,4.52M,0
2019-02-01,1.07,1.1,1.1,1.07,2.52M,-1
2019-01-31,1.09,1.12,1.13,1.09,3.98M,-1
2019-01-30,1.11,1.1,1.16,1.09,19.32M,1
2019-01-29,1.1,1.07,1.1,1.07,6.29M,1
2019-01-28,1.07,1.1,1.11,1.07,3.01M,-1
2019-01-25,1.1,1.09,1.12,1.08,1.67M,1
2019-01-24,1.09,1.09,1.09,1.08,1.51M,0
2019-01-23,1.08,1.1,1.1,1.07,3.59M,-1
2019-01-22,1.09,1.11,1.12,1.09,1.90M,-1
2019-01-21,1.1,1.11,1.13,1.09,4.67M,-1
2019-01-18,1.1,1.07,1.11,1.06,5.05M,1
2019-01-17,1.06,1.06,1.09,1.06,3.47M,0
2019-01-16,1.05,1.05,1.06,1.04,1.48M,0
2019-01-15,1.05,1.05,1.06,1.04,2.75M,0
2019-01-14,1.04,1.04,1.05,1.03,1.63M,0
2019-01-11,1.05,1.04,1.07,1.04,2.56M,1
2019-01-10,1.04,1.05,1.07,1.03,2.06M,-1
2019-01-09,1.04,1.05,1.06,1.04,1.21M,-1
2019-01-08,1.05,1.06,1.07,1.04,1.15M,-1
2019-01-07,1.06,1.06,1.09,1.05,3.05M,0
2019-01-04,1.05,1.05,1.06,1.04,1.73M,0
2019-01-03,1.04,1.06,1.1,1.03,4.91M,-1
2019-01-02,1.06,1.1,1.1,1.05,2.19M,-1
2018-12-31,1.09,1.1,1.11,1.08,1.72M,-1
2018-12-28,1.1,1.13,1.13,1.09,3.74M,-1
2018-12-27,1.12,1.15,1.15,1.12,3.46M,-1
2018-12-26,1.13,1.15,1.16,1.13,8.48M,-1
2018-12-25,1.14,1.14,1.16,1.12,6.22M,0
2018-12-24,1.14,1.15,1.2,1.12,20.53M,-1
2018-12-21,1.14,1.16,1.18,1.14,7.02M,-1
2018-12-20,1.15,1.15,1.2,1.14,13.05M,0
2018-12-19,1.16,1.14,1.19,1.13,9.87M,1
2018-12-18,1.13,1.13,1.17,1.11,12.19M,0
2018-12-17,1.14,1.22,1.23,1.14,10.92M,-1
2018-12-14,1.21,1.3,1.31,1.18,50.20M,-1
2018-12-13,1.29,1.14,1.32,1.11,73.13M,1
2018-12-12,1.13,1.18,1.19,1.13,10.94M,-1
2018-12-11,1.17,1.13,1.21,1.09,22.33M,1
2018-12-10,1.14,1.16,1.19,1.14,12.14M,-1
2018-12-07,1.16,1.09,1.17,1.09,12.43M,1
2018-12-06,1.09,1.16,1.17,1.09,9.64M,-1
2018-12-05,1.16,1.2,1.25,1.16,25.02M,-1
2018-12-04,1.2,1.15,1.23,1.12,34.98M,1
2018-12-03,1.14,1.15,1.2,1.08,42.84M,-1
2018-11-30,1.12,1.02,1.15,0.99,39.61M,1
2018-11-29,1.03,1.0,1.04,0.99,8.00M,1
2018-11-28,0.99,0.98,1.0,0.96,4.83M,1
2018-11-27,0.97,1.0,1.0,0.97,1.72M,-1
2018-11-26,0.99,1.0,1.02,0.99,3.22M,-1
2018-11-23,0.98,0.98,1.01,0.96,4.81M,0
2018-11-22,0.98,0.96,0.99,0.94,3.48M,1
2018-11-21,0.95,0.95,0.97,0.92,2.33M,0
2018-11-20,0.95,0.96,0.97,0.94,3.36M,-1
2018-11-19,0.96,0.97,0.99,0.94,4.82M,-1
2018-11-16,0.96,0.95,1.05,0.94,26.91M,1
2018-11-15,0.92,0.9,0.94,0.89,3.60M,1
2018-11-14,0.89,0.89,0.9,0.87,887.77K,0
2018-11-13,0.88,0.89,0.89,0.87,686.93K,-1
2018-11-12,0.88,0.9,0.91,0.87,833.44K,-1
2018-11-09,0.89,0.92,0.93,0.89,1.07M,-1
2018-11-08,0.92,0.93,0.94,0.91,677.60K,-1
2018-11-07,0.92,0.9,0.92,0.89,1.36M,1
2018-11-06,0.89,0.91,0.91,0.89,872.28K,-1
2018-11-05,0.91,0.88,0.92,0.88,2.25M,1
2018-11-02,0.88,0.9,0.9,0.87,804.63K,-1
2018-11-01,0.89,0.91,0.91,0.87,1.15M,-1
2018-10-31,0.91,0.93,0.94,0.89,1.84M,-1
2018-10-30,0.96,0.98,0.99,0.95,979.72K,-1
2018-10-26,0.98,0.99,1.01,0.97,1.08M,-1
