Date,XAU_Close,XAU_Open,XAU_High,XAU_Low,XAU_HighestOfYear,XAU_LowestOfYear,XAU_Change,DXY_Close,DXY_Open,DXY_High,DXY_Low,DXY_HighestOfYear,DXY_LowestOfYear,DXY_Change
2020-05-14,1730.65,1715.63,1737.41,1710.51,1906.54,1501.05,1,100.47,100.19,100.56,100.15,102.99,92.93,1
2020-05-13,1715.99,1702.5,1719.02,1698.81,1906.54,1501.05,1,100.24,100.01,100.28,99.58,102.99,92.93,1
2020-05-12,1702.72,1697.04,1711.79,1693.17,1906.54,1501.05,1,99.93,100.23,100.44,99.66,102.99,92.93,-1
2020-05-11,1697.35,1702.65,1712.64,1691.59,1906.54,1501.05,-1,100.24,99.12,100.28,99.12,102.99,92.93,1
2020-05-08,1702.65,1717.46,1723.91,1701.06,1906.54,1501.05,-1,99.73,99.84,99.94,99.1,102.99,92.93,-1
2020-05-07,1717.94,1686.08,1723.06,1683.5,1906.54,1501.05,1,99.89,100.21,100.4,99.81,102.99,92.93,-1
2020-05-06,1685.89,1707.51,1709.34,1682.28,1906.54,1501.05,-1,100.09,99.79,100.2,99.75,102.99,92.93,1
2020-05-05,1707.17,1700.82,1712.9,1691.45,1906.54,1501.05,1,99.71,99.51,99.97,99.3,102.99,92.93,1
2020-05-04,1701.69,1699.0,1712.57,1691.84,1906.54,1501.05,1,99.48,98.57,99.6,98.57,102.99,92.93,1
2020-05-01,1700.41,1685.95,1706.53,1670.06,1906.54,1501.05,1,99.08,99.13,99.21,98.64,102.99,92.93,-1
2020-04-30,1685.05,1712.27,1723.17,1680.64,1906.54,1501.05,-1,99.02,99.48,99.72,98.81,102.99,92.93,-1
2020-04-29,1712.39,1708.3,1717.76,1697.55,1906.54,1501.05,1,99.57,99.88,99.89,99.46,102.99,92.93,-1
2020-04-28,1708.64,1715.31,1716.04,1691.63,1906.54,1501.05,-1,99.86,100.06,100.21,99.45,102.99,92.93,-1
2020-04-27,1715.57,1726.15,1727.93,1705.68,1906.54,1501.05,-1,100.04,100.23,100.32,99.83,102.99,92.93,-1
2020-04-24,1729.43,1731.57,1737.44,1710.21,1906.54,1501.05,-1,100.38,100.5,100.87,100.19,102.99,92.93,-1
2020-04-23,1731.58,1713.56,1739.74,1706.26,1906.54,1501.05,1,100.43,100.45,100.69,100.04,102.99,92.93,-1
2020-04-22,1714.82,1687.1,1719.65,1680.09,1906.54,1501.05,1,100.39,100.21,100.5,99.9,102.99,92.93,1
2020-04-21,1687.02,1694.11,1698.6,1661.39,1906.54,1501.05,-1,100.26,99.94,100.48,99.93,102.99,92.93,1
2020-04-20,1694.11,1692.25,1703.46,1671.49,1906.54,1501.05,1,99.96,99.71,100.07,99.65,102.99,92.93,1
2020-04-17,1684.69,1715.99,1719.12,1679.37,1906.54,1501.05,-1,99.78,99.86,100.29,99.62,102.99,92.93,-1
2020-04-16,1718.4,1716.46,1739.17,1707.88,1906.54,1501.05,1,100.03,99.63,100.3,99.61,102.99,92.93,1
2020-04-15,1716.6,1728.8,1732.27,1707.71,1906.54,1501.05,-1,99.46,98.82,99.98,98.82,102.99,92.93,1
2020-04-14,1729.7,1712.34,1747.85,1708.55,1906.54,1501.05,1,98.89,99.38,99.43,98.82,102.99,92.93,-1
2020-04-13,1714.32,1685.69,1723.88,1674.87,1906.54,1501.05,1,99.35,99.49,99.63,99.14,102.99,92.93,-1
2020-04-10,1689.9,1676.0,1697.5,1676.0,1906.54,1501.05,1,99.52,99.58,99.63,99.36,102.99,92.93,-1
2020-04-09,1684.07,1646.08,1691.17,1643.1,1906.54,1501.05,1,99.52,100.13,100.3,99.36,102.99,92.93,-1
2020-04-08,1646.52,1647.59,1657.69,1641.94,1906.54,1501.05,-1,100.12,99.91,100.43,99.9,102.99,92.93,1
2020-04-07,1648.95,1663.03,1673.55,1641.89,1906.54,1501.05,-1,99.9,100.75,100.79,99.77,102.99,92.93,-1
2020-04-06,1663.0,1597.5,1669.97,1597.5,1906.54,1501.05,1,100.68,100.66,100.93,100.47,102.99,92.93,1
2020-04-03,1618.45,1615.09,1626.07,1606.3,1906.54,1501.05,1,100.58,100.2,100.85,100.14,102.99,92.93,1
2020-04-02,1613.79,1590.52,1621.15,1579.04,1906.54,1501.05,1,100.18,99.51,100.41,99.33,102.99,92.93,1
2020-04-01,1595.05,1571.0,1603.41,1566.97,1906.54,1501.05,1,99.67,99.01,99.84,98.91,102.99,92.93,1
2020-03-31,1571.31,1618.49,1626.27,1566.23,1906.54,1501.05,-1,99.05,99.25,99.95,98.89,102.99,92.93,-1
2020-03-30,1623.3,1622.0,1639.61,1608.72,1906.54,1501.05,1,99.18,98.31,99.32,98.29,102.99,92.93,1
2020-03-27,1623.5,1632.38,1637.86,1612.22,1906.54,1501.05,-1,98.36,99.29,99.81,98.27,102.99,92.93,-1
2020-03-26,1632.39,1617.25,1647.28,1595.84,1906.54,1501.05,1,99.35,100.96,101.02,99.24,102.99,92.93,-1
2020-03-25,1613.79,1628.19,1643.05,1587.2,1906.54,1501.05,-1,101.05,101.6,101.91,100.84,102.99,92.93,-1
2020-03-24,1622.03,1553.71,1638.72,1553.41,1906.54,1501.05,1,102.04,102.13,102.21,101.05,102.99,92.93,-1
2020-03-23,1553.81,1508.15,1561.48,1485.1,1906.54,1501.05,1,102.49,101.95,102.98,101.65,102.99,92.93,1
2020-03-20,1498.24,1470.54,1516.25,1460.3,1906.54,1501.05,1,102.82,102.94,102.99,101.09,102.99,92.93,-1
2020-03-19,1471.0,1485.9,1501.05,1464.18,1906.54,1501.05,-1,102.99,100.79,102.99,100.78,102.99,92.93,1
2020-03-18,1486.3,1527.7,1546.22,1472.86,1906.54,1501.05,-1,101.16,99.38,101.74,99.15,102.99,92.93,1
2020-03-17,1528.57,1512.45,1553.26,1465.81,1906.54,1501.05,1,99.58,98.14,99.83,97.98,102.99,92.93,1
2020-03-16,1514.61,1550.55,1573.49,1451.5,1906.54,1501.05,-1,98.07,98.7,98.7,97.45,102.99,92.93,-1
2020-03-13,1529.7,1576.95,1597.72,1506.86,1906.54,1501.05,-1,98.75,97.45,98.81,97.33,102.99,92.93,1
2020-03-12,1577.08,1634.8,1650.47,1561.01,1906.54,1501.05,-1,97.47,96.65,98.31,96.08,102.99,92.93,1
2020-03-11,1635.03,1649.69,1671.13,1632.97,1906.54,1501.05,-1,96.51,96.33,96.69,95.91,102.99,92.93,1
2020-03-10,1649.36,1679.1,1680.53,1642.15,1906.54,1501.05,-1,96.41,95.34,96.58,95.23,102.99,92.93,1
2020-03-09,1680.2,1694.4,1702.96,1657.74,1906.54,1501.05,-1,94.89,96.11,95.79,94.65,102.99,92.93,-1
2020-03-06,1674.23,1670.58,1692.1,1648.12,1906.54,1501.05,1,95.95,96.61,96.7,95.71,102.99,92.93,-1
2020-03-05,1670.61,1635.91,1674.69,1635.07,1906.54,1501.05,1,96.82,97.38,97.44,96.52,102.99,92.93,-1
2020-03-04,1635.83,1639.76,1651.65,1632.06,1906.54,1501.05,-1,97.34,97.17,97.59,97.12,102.99,92.93,1
2020-03-03,1639.77,1590.77,1649.55,1587.86,1906.54,1501.05,1,97.15,97.56,97.69,96.98,102.99,92.93,-1
2020-03-02,1590.73,1591.1,1611.03,1579.7,1906.54,1501.05,-1,97.36,98.12,98.12,97.18,102.99,92.93,-1
2020-02-28,1585.13,1642.15,1649.48,1565.86,1906.54,1501.05,-1,98.13,98.42,98.66,97.96,102.99,92.93,-1
2020-02-27,1642.35,1640.55,1660.57,1635.65,1906.54,1501.05,1,98.51,99.02,99.05,98.36,102.99,92.93,-1
2020-02-26,1639.96,1635.37,1655.09,1625.79,1906.54,1501.05,1,99.0,99.08,99.27,98.91,102.99,92.93,-1
2020-02-25,1635.38,1660.72,1660.86,1629.1,1906.54,1501.05,-1,98.97,99.33,99.39,98.88,102.99,92.93,-1
2020-02-24,1660.72,1659.05,1689.11,1652.37,1906.54,1501.05,1,99.36,99.34,99.64,99.11,102.99,92.93,1
2020-02-21,1643.7,1619.69,1649.15,1618.94,1906.54,1501.05,1,99.26,99.86,99.87,99.23,102.99,92.93,-1
2020-02-20,1619.7,1611.71,1623.79,1603.98,1906.54,1501.05,1,99.86,99.54,99.91,99.53,102.99,92.93,1
2020-02-19,1611.64,1601.85,1613.04,1599.53,1906.54,1501.05,1,99.7,99.43,99.72,99.38,102.99,92.93,1
2020-02-18,1601.92,1583.44,1605.45,1583.09,1906.54,1501.05,1,99.44,99.19,99.47,99.14,102.99,92.93,1
2020-02-17,1581.1,1584.7,1584.81,1578.6,1906.54,1501.05,-1,99.0,99.16,99.21,99.0,102.99,92.93,-1
2020-02-14,1584.7,1576.3,1585.05,1573.12,1906.54,1501.05,1,99.12,99.12,99.17,99.0,102.99,92.93,0
2020-02-13,1576.39,1565.62,1578.24,1565.53,1906.54,1501.05,1,99.07,98.99,99.11,98.85,102.99,92.93,1
2020-02-12,1565.63,1567.73,1570.59,1561.8,1906.54,1501.05,-1,99.05,98.77,99.05,98.7,102.99,92.93,1
