"Date","Price","Open","High","Low","Target"
"2020-05-06","1685.89","1707.51","1709.34","1682.28","-1"
"2020-04-30","1685.05","1712.27","1723.17","1680.64","-1"
"2020-04-28","1708.64","1715.31","1716.04","1691.63","-1"
"2020-04-27","1715.57","1726.15","1727.93","1705.68","-1"
"2020-04-24","1729.43","1731.57","1737.44","1710.21","-1"
"2020-04-21","1687.02","1694.11","1698.6","1661.39","-1"
"2020-04-17","1684.69","1715.99","1719.12","1679.37","-1"
"2020-04-15","1716.6","1728.8","1732.27","1707.71","-1"
"2020-04-08","1646.52","1647.59","1657.69","1641.94","-1"
"2020-04-07","1648.95","1663.03","1673.55","1641.89","-1"
"2020-03-31","1571.31","1618.49","1626.27","1566.23","-1"
"2020-03-27","1623.5","1632.38","1637.86","1612.22","-1"
"2020-03-25","1613.79","1628.19","1643.05","1587.2","-1"
"2020-03-19","1471.0","1485.9","1501.05","1464.18","-1"
"2020-03-18","1486.3","1527.7","1546.22","1472.86","-1"
"2020-03-16","1514.61","1550.55","1573.49","1451.5","-1"
"2020-03-13","1529.7","1576.95","1597.72","1506.86","-1"
"2020-03-12","1577.08","1634.8","1650.47","1561.01","-1"
"2020-03-11","1635.03","1649.69","1671.13","1632.97","-1"
"2020-03-10","1649.36","1679.1","1680.53","1642.15","-1"
"2020-03-09","1680.2","1694.4","1702.96","1657.74","-1"
"2020-03-04","1635.83","1639.76","1651.65","1632.06","-1"
"2020-03-02","1590.73","1591.1","1611.03","1579.7","-1"
"2020-02-28","1585.13","1642.15","1649.48","1565.86","-1"
"2020-02-25","1635.38","1660.72","1660.86","1629.1","-1"
"2020-02-17","1581.1","1584.7","1584.81","1578.6","-1"
"2020-02-12","1565.63","1567.73","1570.59","1561.8","-1"
"2020-02-11","1567.71","1572.09","1574.17","1562.29","-1"
"2020-02-04","1552.56","1576.4","1579.57","1549.14","-1"
"2020-02-03","1576.45","1590.2","1591.84","1571.29","-1"
"2020-01-30","1574.21","1577.09","1586.16","1572.65","-1"
"2020-01-28","1566.24","1581.95","1583.27","1565.65","-1"
"2020-01-21","1558.02","1560.94","1568.75","1546.41","-1"
"2020-01-16","1552.79","1556.18","1558.19","1548.05","-1"
"2020-01-14","1546.37","1548.31","1548.95","1536.12","-1"
"2020-01-13","1548.3","1562.29","1562.3","1546.77","-1"
"2020-01-09","1552.37","1555.76","1561.67","1540.18","-1"
"2020-01-08","1555.81","1573.99","1611.15","1552.23","-1"
"2019-12-27","1510.67","1511.55","1515.47","1507.05","-1"
"2019-12-20","1478.2","1479.14","1481.26","1475.7","-1"
"2019-12-18","1475.44","1476.45","1479.67","1470.32","-1"
"2019-12-12","1469.43","1474.85","1486.95","1464.78","-1"
"2019-12-06","1459.76","1475.7","1477.45","1458.61","-1"
"2019-12-04","1474.35","1477.34","1484.55","1471.39","-1"
"2019-12-02","1462.44","1467.03","1467.03","1453.91","-1"
"2019-11-27","1454.35","1461.65","1462.11","1452.45","-1"
"2019-11-25","1454.97","1462.29","1462.41","1453.89","-1"
"2019-11-22","1462.29","1464.4","1473.3","1461.23","-1"
"2019-11-21","1464.4","1471.25","1475.98","1462.6","-1"
"2019-11-20","1471.25","1472.39","1479.15","1465.88","-1"
"2019-11-15","1467.37","1471.2","1471.49","1462.28","-1"
"2019-11-11","1455.9","1458.96","1466.77","1448.28","-1"
"2019-11-08","1458.66","1468.01","1473.33","1456.28","-1"
"2019-11-07","1468.07","1490.44","1492.48","1461.24","-1"
"2019-11-05","1484.1","1509.64","1510.1","1479.65","-1"
"2019-11-04","1509.63","1513.8","1514.97","1504.33","-1"
"2019-10-29","1487.6","1492.69","1495.16","1483.72","-1"
"2019-10-28","1492.69","1504.34","1508.58","1489.86","-1"
"2019-10-25","1504.73","1504.75","1518.07","1500.56","-1"
"2019-10-21","1484.5","1492.02","1495.48","1481.91","-1"
